Provinsi,2013,2014,2015,2016,2017,2018,2019,2020,2021
Aceh,7648.1,3231.5,23071.6,15515.7,7502.2,11608,1917.9,2998.8,4916.7
Sumatera Utara,6140.5,20665.7,9714.3,22549.6,7319.1,12402.4,1233.6,3339,4572.6
Sumatera Barat,5056,10498.9,7817.8,8680,5514,9324.8,774.6,6797,7571.6
Riau,201939.4,135530.7,24190.9,6981.6,43714.8,142011.1,6566.2,1518,8084.2
Jambi,-9941.5,16893.1,24821.4,32871.3,9235.6,27382,4486.9,20047,24533.9
Sumatera Selatan,3527.2,290777,4294.2,22286.6,3741,60655.1,-2312,2192,-120
Bengkulu,12069.4,4133.1,1798.8,5091.5,7706.4,2160.6,3359.8,2033,5392.8
Lampung,163.9,16700.2,1213.6,4420.3,1358.5,625.4,463.3,275,738.3
Kepulauan Bangka Belitung,1699.4,19292.3,1692.3,3181.7,3745.8,2154.4,118.4,1987,2105.4
Kepulauan Riau,4.6,1322,697.7,5662.8,-142.5,562,1314.4,482,1796.4
DKI Jakarta,0,0,0,-0.8,0,0,0,0,0
Jawa Barat,-14880.5,6060,0,-188,6388.5,4977.4,0,382,382
Jawa Tengah,-94.3,5231.4,0,0,3115.6,1904,0,207,207
DI Yogyakarta,32.8,51.8,0,-270.2,589.8,326.4,0,0,0
Jawa Timur,7497.1,7749.2,0,0,8810.3,5804.7,0,143,143
Banten,-266.1,1811.5,0,-5262.1,-283.1,83.4,34.3,278,312.3
Bali,130.2,77.5,7455.5,234.2,276.9,91,45,46,91
Nusa Tenggara Barat,0,9083.2,22362.4,-14802.7,10236.4,15971.9,13007.9,3123,16130.9
Nusa Tenggara Timur,108.8,13932,0,0,17689.9,3512.8,8289.5,1401,9690.5
Kalimantan Barat,29919.6,40477.2,124956,19296.9,42291.4,24095,16334.5,10095,26429.5
Kalimantan Tengah,58835.6,186642,98129.2,116782.8,27240.3,26240.2,6912.3,21536,28448.3
Kalimantan Selatan,6938.5,46703.8,33125.1,-681.8,14368.6,8099.3,7547.2,2029,9576.2
Kalimantan Timur dan Kalimantan Utara ,38339.4,100930.8,108682,94981.8,65194.2,69584.6,10660.5,20924,31584.5
Sulawesi Utara,3778.1,1307.5,2352.6,605.3,3902.6,260.8,399.4,108,507.4
Sulawesi Tengah,4714,21376.3,26088.6,44523.9,21947.3,3791.8,9503.1,2391,11894.1
Sulawesi Selatan,3354,10346.6,29937.2,9274.1,3598.2,2015.7,919.1,144,1063.1
Sulawesi Tenggara,2368.3,7116.7,15365.2,14956.3,30834,6557.2,3184.4,4188,7372.4
Gorontalo,2586.1,14851.4,2242.5,-24.6,-339.6,378.1,1067.9,512,1579.9
Sulawesi Barat,929,2337.5,9524.7,1413,927.8,-228.8,215.7,3691,3906.7
Maluku,912.2,4933.5,6900.5,1410.5,3716.9,1271.8,9267.4,1294,10561.4
Maluku Utara,1569.1,11951.5,25792.2,22033.2,11820.2,2326.8,1609.8,964,2573.8
Papua Barat,1848.9,12307.7,10221.1,31228.7,-1369.5,5296.1,1908.4,2030,3938.4
Papua,20443.1,67857.9,6729.6,17259.1,78787.4,11212.2,6630.3,3551,10181.3
INDONESIA,397370.9,1092181.5,629176.9,480010.8,439439.1,462458.5,115459.8,120705.8,236165.6
